id;hv_typ;hv_kategori
1;Latitude 5480;19
2;Latitude 5580;20
3;Latitude 6430U;19
4;Latitude 7280;18
5;Latitude 7480;19
6;Latitude E4310;18
7;Latitude E5440;19
8;Latitude E5450;19
9;Latitude E5470;19
10;Latitude E5570;20
11;Latitude E6220;18
12;Latitude E6230;18
13;Latitude E6320;18
14;Latitude E6330;18
15;Latitude E6420;19
16;Latitude E6430;19
17;Latitude E6440;19
18;Latitude E6530;20
19;Latitude E6540;20
20;Latitude E7240;18
21;Latitude E7250;18
22;Latitude E7270;18
23;Latitude E7440;19
24;Latitude E7450;19
25;Latitude E7470;19
26;OptiPlex 7010;2
27;OptiPlex 7040;2
28;OptiPlex 7050;2
29;OptiPlex 7440 AIO;4
30;OptiPlex 7450 AIO;4
31;OptiPlex 760;2
32;OptiPlex 780;2
33;OptiPlex 790;2
34;OptiPlex 9020;2
35;OptiPlex 9020M;2
36;OptiPlex 9030 AIO;4
37;Precision 7520;24
38;Precision 7510;24
39;Precision 7710;24
43;Precision T1650;24
44;Precision T1700;24
45;Precision T3600;24
46;Precision T3610;24
47;Precision T5600;24
48;Precision T5610;24
49;Precision Tower 3420;14
50;Precision Tower 7810;14
51;Precision WorkStation T3500;14
52;Venue 11 Pro 7139;7
53;Venue 8 Pro 5830;7
54;OR-PC19;39
55;OR-PC21;39
55;OR-PC21-12;39
56;OR-PC24-12;39
56;OR-PC24;39
54;OR-PC19-12;39
66;ThinkCentre M710t;12
91;ThinkCentre M715q;4
68;ThinkCentre M720q;4
69;ThinkCentre M725s;2
70;ThinkCentre M920t;12
71;ThinkCentre M920z AIO;4
72;ThinkCentre TIO M715q (dator);4
73;ThinkPad A275;18
74;ThinkPad A285;18
75;ThinkPad A475;19
76;ThinkPad A485;19
77;ThinkPad L490;19
78;ThinkPad P51;22
79;ThinkPad P52;22
80;ThinkPad P72;24
81;ThinkPad W541;24
82;ThinkStation P330;14
83;Thinkstation P520;14
84;Thinkstation P520c;14
85;ThinkPad P53;22
86;Lenovo TIO ThinkCenter M715q;4
87;ThinkPad X395;18
88;ThinkPad T495;14
89;ThinkStation P330;4
90;ThinkCentre TIO M715q Touch (paket);4
91;ThinkCentre TIO M715q (paket);4
92;ThinkPad X395 Kraftfull;18
93;ThinkPad P73;24
94;ThinkCentre TIO 24 (Gen3Touch);4
95;Thinkcentre M920z;4
96;Thinkpad L480;19
98;Dell Precision 3520 ;24
99;	ZEUS-197B;39
100; ZEUS-227B;39
101; ZEUS-247B;39
102; HP EliteBook 735 G6;18
104; HP EliteBook 845 G7;14
105; HP ProOne 440 G6 24 All-in-One PC;4
106; ThinkCenter SFF M725s (Ny);2
107; ThinkCentre M75s-1;2
108; HP Prodesk 400 G6 DM;12
109; HP Prodesk 405 G6 SFF;2
110; HP Prodesk 600 G6 MT;12
111; HP Z2 G5 SFF;14
112; HP EliteBook 835 G7;18
113; HP ProBook 640 G8;19
115; HP Zbook 15 G7;22
116;HP Zbook 17 G7;24
117;ThinkCentre M75s1 SFF (Ny CPU);2
118;HP 440 G6 PO AiO NT i3-10100 8;5
119;ThinkCentre M75s-2;2
120;ThinkCentre M70t;12
121;ThinkStation P340;14 
122;ThinkCentre M90a;4
124;ThinkPad X13;18
126;ThinkPad T14;14
127;ThinkPad T15p;22
128;ThinkPad P15v;24
129;ThinkPad P17;24
130;ThinkCentre M75q-1;12
131;ThinkPad L14;19
132;ThinkCentre M75q-2;2
